#{"t_start": 1689531136.1129184, "env_id": null}
r,l,t
99.299998,131,1352.306513
102.899999,56,1353.299663
102.999999,96,1354.933888
102.499999,43,1355.706863
103.699999,61,1356.754902
104.399999,68,1357.948056
103.899999,60,1358.978907
-14.7,92,1360.574307
100.799998,17,1360.898803
102.199999,70,1362.090975
100.999998,55,1363.063795
100.899998,18,1363.397313
102.299999,56,1364.359644
97.999998,88,1365.879156
103.299999,42,1366.65003
102.299999,86,1368.112321
106.499999,119,1370.159909
104.399999,62,1371.257805
104.699999,98,1372.911267
105.599999,92,1374.494712
107.299999,100,1376.227479
105.499999,100,1377.958719
103.399999,49,1378.8079
102.999999,42,1379.542502
103.999999,43,1380.339486
-17.0,48,1381.17508
-17.1,44,1381.941146
104.899999,151,1384.541782
101.399998,32,1385.111511
